Year,Rank,Company,Revenue,Profit
1995,13,Prudential Ins. Co. of America,36945.7,-1175
1995,14,DuPont,34968.0,2727
1995,15,Kmart Holding,34313.0,296
1995,16,Texaco,33768.0,910
1995,17,Citicorp,31650.0,3366
1995,18,ChevronTexaco,31064.0,1693
1995,19,Procter & Gamble,30296.0,2211
1995,20,PepsiCo,28472.4,1752
1996,1,General Motors,168828.6,6880.7
1996,2,Ford Motor,137137.0,4139
1996,3,Exxon Mobil,110009.0,6470
1996,4,Wal-Mart Stores,93627.0,2740
1996,5,AT&T,79609.0,139
1996,6,Intl. Business Machines,71940.0,4178
1996,7,General Electric,70028.0,6573
1996,8,Mobil,66724.0,2376
1996,9,Chrysler,53195.0,2025
1996,10,Altria Group,53139.0,5450
1996,11,Prudential Ins. Co. of America,41330.0,579
1996,12,State Farm Insurance Cos,40809.9,1271.2
1996,13,DuPont,37607.0,3293
1996,14,Texaco,36787.0,607
1996,15,Sears Roebuck,35181.0,1801
1996,16,Kmart Holding,34654.0,-571
1996,17,Procter & Gamble,33434.0,2645
1996,18,ChevronTexaco,32094.0,930
1996,19,Citicorp,31690.0,3464
1996,20,Hewlett-Packard,31519.0,2433
1997,1,General Motors,168369.0,4963
1997,2,Ford Motor,146991.0,4446
1997,3,Exxon Mobil,119434.0,7510
1997,4,Wal-Mart Stores,106147.0,3056
1997,5,General Electric,79179.0,7280
1997,6,Intl. Business Machines,75947.0,5429
1997,7,AT&T,74525.0,5908
1997,8,Mobil,72267.0,2964
1997,9,Chrysler,61397.0,3529
1997,10,Altria Group,54553.0,6303
1997,11,Texaco,44561.0,2018
1997,12,State Farm Insurance Cos,42781.2,2567.9
1997,13,Prudential Ins. Co. of America,40175.0,1006
1997,14,DuPont,39689.0,3636
1997,15,ChevronTexaco,38691.0,2607
1997,16,Hewlett-Packard,38420.0,2586
1997,17,Sears Roebuck,38236.0,1271
1997,18,Procter & Gamble,35284.0,3046
1997,19,Amoco,32726.0,2834
1997,20,Citicorp,32605.0,3788
1998,1,General Motors,178174.0,6698
1998,2,Ford Motor,153627.0,6920
1998,3,Exxon Mobil,122379.0,8460
1998,4,Wal-Mart Stores,119299.0,3526
1998,5,General Electric,90840.0,8203
1998,6,Intl. Business Machines,78508.0,6093
1998,7,Chrysler,61147.0,2805
1998,8,Mobil,59978.0,3272
1998,9,Altria Group,56114.0,6310
1998,10,AT&T,53261.0,4638
1998,11,Boeing,45800.0,-178
1998,12,Texaco,45187.0,2664
1998,13,State Farm Insurance Cos,43957.0,3833.3
1998,14,Hewlett-Packard,42895.0,3119
1998,15,DuPont,41304.0,2405
1998,16,Sears Roebuck,41296.0,1188
1998,17,Citigroup,37609.0,3104
1998,18,Prudential Ins. Co. of America,37073.0,610
1998,19,ChevronTexaco,36376.0,3256
1998,20,Procter & Gamble,35764.0,3415
1999,1,General Motors,161315.0,2956
1999,2,Ford Motor,144416.0,22071
1999,3,Wal-Mart Stores,139208.0,4430
1999,4,Exxon Mobil,100697.0,6370
1999,5,General Electric,100469.0,9296
1999,6,Intl. Business Machines,81667.0,6328
1999,7,Citigroup,76431.0,5807
1999,8,Altria Group,57813.0,5372
1999,9,Boeing,56154.0,1120
1999,10,AT&T,53588.0,6398
1999,11,Bank of America Corp.,50777.0,5165
1999,12,State Farm Insurance Cos,47678.0,1704
1999,13,Mobil,47061.0,2945
1999,14,Hewlett-Packard,44620.9,1319.7
1999,15,Sears Roebuck,41322.0,1048
1999,16,DuPont,39130.0,4480
1999,17,Procter & Gamble,37154.0,3780
1999,18,TIAA-CREF,35889.1,840.4
1999,19,Merrill Lynch,35853.0,1259
1999,20,Prudential Ins. Co. of America,34427.0,1106
2000,1,General Motors,189058.0,6002
2000,2,Wal-Mart Stores,166809.0,5377
2000,3,Exxon Mobil,163881.0,7910
2000,4,Ford Motor,162558.0,7237
2000,5,General Electric,111630.0,10717
2000,6,Intl. Business Machines,87548.0,7712
2000,7,Citigroup,82005.0,9867
2000,8,AT&T,62391.0,3428
2000,9,Altria Group,61751.0,7675
2000,10,Boeing,57993.0,2309
2000,11,Bank of America Corp.,51392.0,7882
2000,12,SBC Communications,49489.0,8159
2000,13,Hewlett-Packard,48253.0,3491
2000,14,Kroger,45351.6,955.9
2000,15,State Farm Insurance Cos,44637.2,1034.1
2000,16,Sears Roebuck,41071.0,1453
2000,17,American Intl. Group,40656.1,5055.4
2000,18,Enron,40112.0,893
2000,19,TIAA-CREF,39410.2,1024.1
2000,20,Compaq Computer,38525.0,569
